bac,age,value
0.01,16,1.8
0.01,17,2.6
0.01,18,5.2
0.01,19,7.0
0.01,20,8.2
0.01,21,6.2
0.01,22,7.6
0.01,23,7.2
0.01,24,6.2
0.01,25,6.6
0.01,26,4.2
0.01,27,5.4
0.01,28,4.8
0.01,29,4.2
0.01,30,3.0
0.01,31,4.4
0.01,32,4.2
0.01,33,3.8
0.01,34,3.4
0.01,35,4.4
0.01,36,4.4
0.01,37,4.2
0.01,38,3.6
0.01,39,4.6
0.01,40,4.0
0.01,41,2.8
0.01,42,1.8
0.01,43,1.8
0.01,44,2.6
0.01,45,4.2
0.01,46,2.4
0.01,47,3.0
0.01,48,4.4
0.01,49,5.2
0.01,50,3.8
0.01,51,4.0
0.01,52,3.8
0.01,53,3.2
0.01,54,4.4
0.01,55,1.8
0.02,16,1.4
0.02,17,2.0
0.02,18,4.8
0.02,19,5.8
0.02,20,5.6
0.02,21,9.8
0.02,22,9.0
0.02,23,6.6
0.02,24,7.8
0.02,25,6.8
0.02,26,4.4
0.02,27,5.0
0.02,28,6.2
0.02,29,3.8
0.02,30,4.0
0.02,31,4.4
0.02,32,3.6
0.02,33,3.2
0.02,34,2.6
0.02,35,3.4
0.02,36,2.4
0.02,37,2.6
0.02,38,4.2
0.02,39,3.2
0.02,40,4.0
0.02,41,3.0
0.02,42,3.4
0.02,43,4.4
0.02,44,4.4
0.02,45,4.2
0.02,46,4.0
0.02,47,1.6
0.02,48,4.2
0.02,49,3.2
0.02,50,4.2
0.02,51,3.2
0.02,52,3.4
0.02,53,2.6
0.02,54,4.0
0.02,55,3.6
0.03,16,1.0
0.03,17,3.8
0.03,18,3.8
0.03,19,6.0
0.03,20,6.8
0.03,21,7.6
0.03,22,6.6
0.03,23,4.6
0.03,24,5.6
0.03,25,5.4
0.03,26,5.2
0.03,27,4.2
0.03,28,3.2
0.03,29,3.6
0.03,30,3.8
0.03,31,5.0
0.03,32,2.2
0.03,33,4.4
0.03,34,2.6
0.03,35,3.6
0.03,36,4.0
0.03,37,3.4
0.03,38,2.4
0.03,39,2.8
0.03,40,3.4
0.03,41,2.4
0.03,42,2.8
0.03,43,2.0
0.03,44,2.8
0.03,45,3.6
0.03,46,2.8
0.03,47,3.2
0.03,48,3.8
0.03,49,2.8
0.03,50,3.8
0.03,51,1.0
0.03,52,2.2
0.03,53,3.0
0.03,54,2.8
0.03,55,3.0
0.04,16,1.8
0.04,17,1.8
0.04,18,3.6
0.04,19,7.0
0.04,20,8.6
0.04,21,7.4
0.04,22,5.8
0.04,23,4.2
0.04,24,5.8
0.04,25,8.8
0.04,26,6.0
0.04,27,5.4
0.04,28,6.0
0.04,29,4.4
0.04,30,3.6
0.04,31,3.2
0.04,32,2.2
0.04,33,3.0
0.04,34,2.4
0.04,35,3.6
0.04,36,2.6
0.04,37,1.8
0.04,38,3.0
0.04,39,2.8
0.04,40,2.4
0.04,41,3.2
0.04,42,3.8
0.04,43,2.4
0.04,44,3.4
0.04,45,2.8
0.04,46,3.0
0.04,47,2.8
0.04,48,2.2
0.04,49,2.0
0.04,50,4.2
0.04,51,3.0
0.04,52,1.4
0.04,53,3.6
0.04,54,2.4
0.04,55,3.0
0.05,16,1.0
0.05,17,2.8
0.05,18,4.6
0.05,19,4.6
0.05,20,7.4
0.05,21,9.2
0.05,22,6.8
0.05,23,6.0
0.05,24,6.6
0.05,25,5.0
0.05,26,5.8
0.05,27,5.0
0.05,28,5.0
0.05,29,5.6
0.05,30,3.2
0.05,31,5.6
0.05,32,5.4
0.05,33,3.0
0.05,34,1.8
0.05,35,2.2
0.05,36,3.0
0.05,37,3.6
0.05,38,1.6
0.05,39,2.4
0.05,40,2.2
0.05,41,2.4
0.05,42,1.2
