age,female,male,total
16,4.2,14.8,19.0
17,11.4,40.6,52.0
18,25.6,103.0,128.6
19,32.2,136.8,169.0
20,38.4,175.2,213.6
21,53.6,278.8,332.40000000000003
22,50.2,244.4,294.6
23,46.8,238.4,285.2
24,46.0,223.0,269.0
25,40.4,214.8,255.20000000000002
26,36.4,193.2,229.6
27,36.8,205.6,242.39999999999998
28,36.0,180.8,216.8
29,33.2,172.8,206.0
30,33.0,153.4,186.4
31,26.6,159.6,186.2
32,27.4,141.2,168.6
33,27.6,141.6,169.2
34,22.8,138.0,160.8
35,20.4,118.2,138.6
36,20.0,124.4,144.4
37,16.8,115.6,132.4
38,22.0,106.0,128.0
39,23.2,121.8,145.0
40,22.2,123.8,146.0
41,19.4,117.8,137.2
42,25.2,111.0,136.2
43,22.6,114.8,137.4
44,19.6,121.6,141.2
45,21.4,105.2,126.6
46,21.6,106.8,128.4
47,24.2,104.0,128.2
48,19.4,112.0,131.4
49,20.6,115.8,136.4
50,16.0,104.8,120.8
51,18.8,100.6,119.39999999999999
52,15.8,98.0,113.8
53,12.8,91.6,104.39999999999999
54,10.0,80.0,90.0
55,10.6,65.4,76.0
