city1,city2,dist,vol,avg_fare,largest_carrier,mkt_share,avg_fare_largest_carrier,lowest_fare_carrier,mkt_share_lowest_fare,avg_fare_lowest_carrier
ABE,BOS,259,6.85,$323.56,US,96.8,$327.18,US,96.8,$327.18
ABE,CAK,315,0.98,$264.26,DL,77.8,$233.05,DL,77.8,$233.05
ABE,CLE,339,9.24,$283.49,US,61.2,$293.65,UA,22.4,$258.79
ABE,DAL,1300,0.87,$381.88,DL,75.0,$333.83,DL,75.0,$333.83
ABE,DFW,1307,22.83,$320.01,US,61.0,$306.85,UA,11.0,$282.24
ABE,FLL,1041,12.83,$257.10,US,51.7,$290.92,UA,11.0,$177.51
ABE,HOU,1350,2.61,$303.73,DL,95.8,$307.89,DL,95.8,$307.89
ABE,IAH,1339,22.93,$286.83,US,47.9,$310.83,UA,31.8,$248.92
ABE,LAX,2388,24.67,$316.72,UA,45.4,$275.28,UA,45.4,$275.28
ABE,MDW,646,0.87,$387.62,DL,100.0,$387.62,DL,100.0,$387.62
ABE,MHT,260,0.98,$308.89,US,66.7,$322.69,US,66.7,$322.69
ABE,MIA,1061,9.02,$289.47,US,51.8,$318.20,DL,38.6,$241.46
ABE,OAK,2490,0.76,$339.57,DL,57.1,$303.00,DL,57.1,$303.00
ABE,ONT,2342,2.61,$463.21,US,75.0,$481.22,UA,16.7,$378.50
ABE,ORD,654,33.91,$301.40,US,46.8,$287.95,US,46.8,$287.95
ABE,PIE,970,97.39,$120.83,G4,100.0,$120.83,G4,100.0,$120.83
ABE,PVD,222,2.28,$326.88,US,95.2,$329.42,US,95.2,$329.42
ABE,SFO,2500,14.13,$413.02,UA,42.3,$404.84,UA,42.3,$404.84
ABE,SJC,2483,0.65,$390.28,US,66.7,$408.93,DL,33.3,$353.00
ABE,SNA,2367,9.13,$319.98,UA,63.1,$293.02,UA,63.1,$293.02
ABE,TPA,962,16.20,$291.54,US,57.1,$307.01,UA,10.7,$198.88
ABI,BWI,1370,7.61,$301.31,AA,98.6,$302.49,AA,98.6,$302.49
ABI,DCA,1345,10.00,$213.79,AA,94.6,$213.72,AA,94.6,$213.72
ABI,DFW,158,24.46,$136.97,AA,100.0,$136.97,AA,100.0,$136.97
ABI,EWR,1523,4.89,$261.12,AA,100.0,$261.12,AA,100.0,$261.12
ABI,HOU,323,7.61,$205.51,AA,95.7,$206.95,AA,95.7,$206.95
ABI,HPN,1553,0.33,$224.00,AA,100.0,$224.00,AA,100.0,$224.00
ABI,IAD,1325,2.50,$198.30,AA,100.0,$198.30,AA,100.0,$198.30
ABI,IAH,307,12.17,$176.10,AA,98.2,$174.52,AA,98.2,$174.52
ABI,JFK,1542,1.30,$299.82,AA,83.3,$278.39,AA,83.3,$278.39
ABI,LAX,1089,11.41,$256.82,AA,94.3,$256.51,AA,94.3,$256.51
ABI,LGA,1539,9.67,$287.50,AA,98.9,$288.79,AA,98.9,$288.79
ABI,LGB,1074,0.22,$275.00,,0.0,$0.00,,0.0,"$9,999.00"
ABI,ONT,1043,3.48,$237.15,AA,100.0,$237.15,AA,100.0,$237.15
ABI,ORD,924,16.52,$227.58,AA,98.7,$220.51,AA,98.7,$220.51
ABI,SNA,1058,6.20,$271.16,AA,98.3,$272.11,AA,98.3,$272.11
ABQ,AUS,619,162.83,$226.66,WN,64.1,$249.65,AA,28.0,$173.74
ABQ,BOS,1974,161.41,$248.85,AA,35.6,$237.71,AA,35.6,$237.71
ABQ,BUR,672,46.52,$214.30,WN,82.5,$211.16,WN,82.5,$211.16
ABQ,BWI,1670,271.85,$249.14,WN,77.2,$254.46,AA,12.0,$226.17
ABQ,CAK,1427,7.83,$262.06,WN,68.1,$258.22,WN,68.1,$258.22
ABQ,CLE,1411,45.54,$274.46,UA,35.3,$302.56,WN,30.1,$242.79
ABQ,DAL,580,403.15,$184.19,WN,99.5,$184.22,WN,99.5,$184.22
ABQ,DCA,1650,122.93,$275.09,F9,25.3,$199.58,F9,25.3,$199.58
ABQ,DFW,569,213.26,$185.73,AA,95.4,$183.64,AA,95.4,$183.64
ABQ,EWR,1805,131.41,$225.62,UA,36.1,$232.96,WN,19.2,$211.93
ABQ,FLL,1687,108.70,$228.58,WN,41.0,$229.20,AA,32.2,$214.09
ABQ,HOU,759,232.28,$227.70,WN,98.9,$227.20,WN,98.9,$227.20
ABQ,HPN,1830,1.85,$370.91,DL,52.9,$368.44,UA,11.8,$263.50
ABQ,IAD,1628,133.70,$320.01,UA,67.5,$348.57,WN,22.7,$238.21
ABQ,IAH,744,140.22,$256.47,UA,87.8,$260.55,UA,87.8,$260.55
ABQ,ISP,1861,13.70,$248.82,WN,96.8,$245.96,WN,96.8,$245.96
ABQ,JFK,1826,182.61,$201.58,B6,86.4,$191.56,B6,86.4,$191.56
ABQ,LAX,677,580.00,$186.44,WN,66.6,$183.77,AA,16.8,$181.95
ABQ,LGA,1821,165.43,$226.88,AA,39.7,$231.90,WN,18.0,$217.10
ABQ,LGB,664,13.37,$188.50,US,85.4,$189.48,DL,12.2,$178.27
ABQ,MDW,1121,169.24,$237.34,WN,86.7,$248.45,F9,11.9,$161.73
ABQ,MHT,1955,31.20,$244.09,WN,92.0,$242.75,WN,92.0,$242.75
ABQ,MIA,1689,33.70,$304.36,AA,61.6,$308.82,DL,29.0,$292.76
ABQ,OAK,889,385.33,$201.82,WN,93.6,$200.93,WN,93.6,$200.93
ABQ,ONT,630,77.17,$216.38,WN,78.9,$216.24,WN,78.9,$216.24
ABQ,ORD,1118,86.96,$267.78,UA,46.3,$284.53,AA,43.0,$247.56
ABQ,ORF,1702,34.46,$268.79,WN,31.2,$286.19,AA,25.6,$243.78
ABQ,PHF,1685,1.96,$344.11,DL,55.6,$396.84,F9,27.8,$186.40
ABQ,PVD,1950,31.09,$259.48,WN,65.7,$253.66,UA,10.5,$217.39
ABQ,SFO,896,169.57,$216.47,WN,48.9,$200.32,WN,48.9,$200.32
ABQ,SJC,870,88.80,$236.45,WN,76.4,$228.17,WN,76.4,$228.17
ABQ,SNA,650,89.57,$215.16,WN,76.5,$213.34,WN,76.5,$213.34
ABQ,SWF,1811,0.22,$620.50,DL,100.0,$620.50,DL,100.0,$620.50
ABQ,TPA,1498,123.70,$212.44,WN,52.9,$210.89,AA,26.4,$207.29
ABY,BWI,676,5.98,$214.00,DL,100.0,$214.00,DL,100.0,$214.00
ABY,DCA,646,8.70,$296.63,DL,98.8,$294.15,DL,98.8,$294.15
ABY,EWR,843,3.37,$307.59,DL,96.8,$308.84,DL,96.8,$308.84
ABY,HPN,879,0.43,$391.50,DL,100.0,$391.50,DL,100.0,$391.50
ABY,IAD,637,3.26,$300.87,DL,93.3,$295.26,DL,93.3,$295.26
ABY,JFK,855,2.28,$287.33,DL,100.0,$287.33,DL,100.0,$287.33
ABY,LGA,858,8.04,$309.99,DL,97.3,$306.67,DL,97.3,$306.67
ACK,EWR,218,2.17,$298.53,,0.0,$0.00,,0.0,"$9,999.00"
ACK,HPN,191,0.11,$231.75,9K,100.0,$231.75,9K,100.0,$231.75
ACK,JFK,199,26.09,$146.07,B6,87.9,$127.81,B6,87.9,$127.81
ACK,LGA,202,0.54,$370.31,,0.0,$0.00,,0.0,"$9,999.00"
ACT,BWI,1269,4.46,$263.80,AA,87.8,$252.77,AA,87.8,$252.77
ACT,DCA,1243,10.76,$216.24,AA,97.0,$217.25,AA,97.0,$217.25
ACT,EWR,1428,4.57,$233.65,AA,95.2,$223.61,AA,95.2,$223.61
ACT,HPN,1459,0.11,$350.00,AA,100.0,$350.00,AA,100.0,$350.00
ACT,IAD,1223,2.17,$244.52,AA,95.0,$206.28,AA,95.0,$206.28
ACT,JFK,1446,0.22,$172.50,AA,50.0,$172.62,AA,50.0,$172.62
ACT,LAX,1241,12.50,$241.68,AA,99.1,$242.49,AA,99.1,$242.49
ACT,LGA,1444,6.52,$238.63,AA,95.0,$241.49,AA,95.0,$241.49
ACT,ONT,1195,2.93,$266.33,AA,96.3,$270.19,AA,96.3,$270.19
ACT,ORD,881,18.15,$219.29,AA,98.8,$217.85,AA,98.8,$217.85
ACT,SNA,1210,4.78,$269.24,AA,95.5,$268.88,AA,95.5,$268.88
ACV,BUR,564,7.07,$315.84,UA,100.0,$315.84,UA,100.0,$315.84
ACV,BWI,2486,1.41,$334.38,UA,84.6,$315.14,UA,84.6,$315.14
ACV,DCA,2475,2.28,$407.31,UA,100.0,$407.31,UA,100.0,$407.31
ACV,IAD,2451,6.30,$355.56,UA,98.3,$358.02,UA,98.3,$358.02
ACV,LAX,577,27.50,$300.72,UA,96.4,$295.51,UA,96.4,$295.51
ACV,ONT,596,5.22,$346.56,UA,95.8,$347.08,UA,95.8,$347.08
ACV,SFO,250,31.74,$286.84,UA,99.7,$286.81,UA,99.7,$286.81
ACV,SNA,609,8.91,$327.91,UA,98.8,$328.08,UA,98.8,$328.08
ACY,FLL,977,537.72,$108.22,NK,100.0,$108.22,NK,100.0,$108.22
ACY,TPA,913,232.50,$103.50,NK,100.0,$103.50,NK,100.0,$103.50
AEX,BOS,1409,10.33,$282.43,DL,61.1,$268.32,AA,26.3,$258.40
AEX,BWI,1046,8.70,$253.69,DL,85.0,$252.46,DL,85.0,$252.46
AEX,DAL,273,0.33,$113.90,UA,100.0,$113.90,UA,100.0,$113.90
AEX,DCA,1018,20.98,$221.70,DL,50.3,$234.58,AA,23.8,$197.97
AEX,DFW,285,23.26,$159.77,AA,97.7,$160.84,AA,97.7,$160.84
AEX,EWR,1212,10.11,$224.05,UA,49.5,$215.87,UA,49.5,$215.87
AEX,FLL,834,7.39,$280.90,DL,64.7,$254.92,DL,64.7,$254.92
AEX,HPN,1245,0.22,$276.50,DL,50.0,$278.46,DL,50.0,$278.46
AEX,IAD,1001,8.15,$291.67,DL,52.0,$338.14,AA,37.3,$237.07
AEX,IAH,190,14.02,$278.85,UA,100.0,$278.85,UA,100.0,$278.85
AEX,ISP,1265,0.22,$514.00,,0.0,$0.00,,0.0,"$9,999.00"
AEX,JFK,1228,1.74,$333.17,DL,93.8,$332.12,DL,93.8,$332.12
AEX,LAX,1515,18.91,$249.98,UA,56.3,$228.06,UA,56.3,$228.06
AEX,LGA,1228,13.15,$268.42,UA,38.8,$275.54,AA,28.9,$217.71
