Seattle,WA,1
Arlington,TX,2
Fort Worth,TX,3
Austin,TX,4
San Jose,CA,5
San Francisco,CA,6
Dallas,TX,7
Virginia Beach,VA,8
Washington,DC,9
Houston,TX,10
New York,NY,11
Tulsa,OK,12
Portland,OR,13
Phoenix,AZ,14
Boston,MA,15
Oklahoma City,OK,15
Mesa,AZ,17
Indianapolis,IN,17
Los Angeles,CA,19
San Diego,CA,20
Columbus,OH,21
Denver,CO,22
Albuquerque,NM,22
Long Beach,CA,24
Baltimore,MD,24
Wichita,KS,24
Minneapolis,MN,27
Miami,FL,28
Atlanta,GA,29
Colorado Springs,CO,30
Omaha,NE,30
Chicago,IL,32
Charlotte,NC,33
Raleigh,NC,34
Philadelphia,PA,35
San Antonio,TX,36
Oakland,CA,37
Nashville,TN,37
Jacksonville,FL,37
Kansas City,MO,40
Louisville,KY,41
Detroit,MI,42
Tucson,AZ,43
Las Vegas,NV,44
Sacramento,CA,45
El Paso,TX,45
Milwaukee,WI,47
Cleveland,OH,48
Fresno,CA,49
Memphis,TN,50
New Orleans,LA,51
