San Francisco,CA,-1
Washington,DC,-0.93
Oakland,CA,-0.87
Seattle,WA,-0.87
Boston,MA,-0.81
Minneapolis,MN,-0.77
Detroit,MI,-0.73
Baltimore,MD,-0.66
Buffalo,NY,-0.66
New York,NY,-0.66
Chicago,IL,-0.63
Portland,OR,-0.59
St. Paul,MN,-0.57
Austin,TX,-0.53
Philadelphia,PA,-0.52
St. Louis,MO,-0.52
New Orleans,LA,-0.51
Pittsburgh,PA,-0.49
Los Angeles,CA,-0.49
Atlanta,GA,-0.48
Newark,NJ,-0.48
Denver,CO,-0.48
Miami,FL,-0.43
Cleveland,OH,-0.42
Kansas City,MO,-0.38
Honolulu,HI,-0.37
San Diego,CA,-0.36
Sacramento,CA,-0.33
Memphis,TN,-0.33
San Jose,CA,-0.32
Raleigh,NC,-0.29
Long Beach,CA,-0.27
Columbus,OH,-0.26
Milwaukee,WI,-0.26
Tucson,AZ,-0.23
Albuquerque,NM,-0.23
Dallas,TX,-0.23
Cincinnati,OH,-0.22
Santa Ana,CA,-0.19
Charlotte,NC,-0.17
Toledo,OH,-0.17
Houston,TX,-0.17
Tampa,FL,-0.16
Indianapolis,IN,-0.12
Louisville,KY,-0.1
Riverside,CA,-0.07
El Paso,TX,-0.07
Phoenix,AZ,-0.04
Lexington_Fayette County,KY,-0.04
Wichita,KS,-0.03
Las Vegas,NV,-0.03
Nashville-Davidson County,TN,-0.02
Corpus Christi,TX,-0.01
San Antonio,TX,-0.01
Fort Worth,TX,0
Fresno,CA,0
Anchorage,AK,0.01
Aurora,CO,0.03
Tulsa,OK,0.07
Omaha,NE,0.08
Anaheim,CA,0.15
Arlington,TX,0.16
Jacksonville,FL,0.18
Colorado Springs,CO,0.23
Virginia Beach,VA,0.25
Oklahoma City,OK,0.26
Mesa,AZ,0.41
