YUMA,AZ,90%
REDDING,CA,88%
LAS VEGAS,NV,85%
PHOENIX,AZ,85%
TUCSON,AZ,85%
EL PASO,TX,84%
FRESNO,CA,79%
RENO,NV,79%
FLAGSTAFF,AZ,78%
SACRAMENTO,CA,78%
ALBUQUERQUE,NM,76%
KEY WEST,FL,76%
PUEBLO,CO,76%
MIDLAND-ODESSA,TX,74%
ROSWELL,NM,74%
AMARILLO,TX,73%
ELY,NV,73%
LOS ANGELES,CA,73%
LAKE CHARLES,LA,72%
LUBBOCK,TX,72%
NORTH LITTLE ROCK,AR,72%
GRAND JUNCTION,CO,71%
HONOLULU,HI,71%
JOHNSTON ISLAND,PC,71%
ABILENE,TX,70%
DODGE CITY,KS,70%
MIAMI,FL,70%
MILFORD,UT,70%
WAKE ISLAND,PC,70%
DENVER,CO,69%
LANDER,WY,68%
OKLAHOMA CITY,OK,68%
SAN DIEGO,CA,68%
WINNEMUCCA,NV,68%
CONCORDIA,KS,67%
KAHULUI,HI,67%
NORTH PLATTE,NE,67%
SAN JUAN,PR,67%
APALACHICOLA,FL,66%
CHEYENNE,WY,66%
MACON,GA,66%
SALT LAKE CITY,UT,66%
SAN FRANCISCO,CA,66%
TAMPA,FL,66%
VALENTINE,NE,65%
WICHITA,KS,65%
BOISE,ID,64%
COLUMBIA,SC,64%
MEMPHIS,TN,64%
POCATELLO,ID,64%
SHREVEPORT,LA,64%
TUPELO,MS,64%
CHARLESTON AP,SC,63%
HURON,SD,63%
JACKSONVILLE,FL,63%
RAPID CITY,SD,63%
RICHMOND,VA,63%
SHERIDAN,WY,63%
WILMINGTON,NC,63%
CHARLOTTE,NC,62%
GALVESTON,TX,62%
LITTLE ROCK,AR,62%
SAVANNAH,GA,62%
TULSA,OK,62%
CAIRO,IL,61%
DALLAS,TX,61%
FORT SMITH,AR,61%
GREAT FALLS,MT,61%
JACKSON,MS,61%
LINCOLN,NE,61%
SIOUX CITY,IA,61%
TOPEKA,KS,61%
ATLANTA,GA,60%
AUSTIN,TX,60%
BILLINGS,MT,60%
BROWNSVILLE,TX,60%
CAPE HATTERAS,NC,60%
CORPUS CHRISTI,TX,60%
GREENSBORO-WNSTN-SALM,NC,60%
GREENVILLE-SPARTANBURG AP,SC,60%
KANSAS CITY,MO,60%
NORFOLK,VA,60%
OMAHA,NE,60%
PENSACOLA,FL,60%
SAN ANTONIO,TX,60%
SPRINGFIELD,MO,60%
WILLISTON,ND,60%
ASHEVILLE,NC,59%
BISMARCK,ND,59%
DES MOINES,IA,59%
EVANSVILLE,IN,59%
FORT WAYNE,IN,59%
HELENA,MT,59%
HOUSTON,TX,59%
LYNCHBURG,VA,59%
BIRMINGHAM AP,AL,58%
BOSTON,MA,58%
HARRISBURG,PA,58%
LIHUE,HI,58%
MINNEAPOLIS,MN,58%
MONTGOMERY,AL,58%
NEW YORK CITY,NY,58%
PORT ARTHUR,TX,58%
PROVIDENCE,RI,58%
RALEIGH,NC,58%
SPRINGFIELD,IL,58%
BALTIMORE,MD,57%
BIRMINGHAM C.O.,AL,57%
CHATTANOOGA,TN,57%
FARGO,ND,57%
MIDDLETOWN/HARRISBURG AP,PA,57%
NEW ORLEANS,LA,57%
PORTLAND,ME,57%
ST. LOUIS,MO,57%
ATLANTIC CITY AP,NJ,56%
COLUMBIA,MO,56%
HARTFORD,CT,56%
KNOXVILLE,TN,56%
LOUISVILLE,KY,56%
NASHVILLE,TN,56%
PEORIA,IL,56%
PHILADELPHIA,PA,56%
WASHINGTON,DC,56%
INDIANAPOLIS,IN,55%
MISSOULA,MT,55%
MOLINE,IL,55%
CHICAGO,IL,54%
CONCORD,NH,54%
GREEN BAY,WI,54%
MADISON,WI,54%
MILWAUKEE,WI,54%
SPOKANE,WA,54%
ALBANY,NY,53%
ALLENTOWN,PA,53%
DAYTON,OH,53%
DETROIT,MI,53%
BLUE HILL,MA,52%
DULUTH,MN,52%
TOLEDO,OH,52%
AVOCA,PA,51%
EUREKA,CA.,51%
KOROR,PC,51%
LANSING,MI,51%
ROCHESTER,NY,51%
COLUMBUS,OH,50%
GREATER CINCINNATI AP,KY,50%
MARQUETTE,MI,50%
BINGHAMTON,NY,49%
BURLINGTON,VT,49%
CLEVELAND,OH,49%
ALPENA,MI,48%
BUFFALO,NY,48%
PORTLAND,OR,48%
SAULT STE. MARIE,MI,47%
SEATTLE,WA,47%
GRAND RAPIDS,MI,46%
GUAM,PC,46%
SYRACUSE,NY,46%
PITTSBURGH,PA,45%
NOME,AK,42%
ANCHORAGE,AK,41%
HILO,HI,41%
ELKINS,WV,40%
MT. WASHINGTON,NH,33%
QUILLAYUTE,WA,33%
