country,id,ppp1990,ppp1995,ppp2000,ppp2005,le1990,le1995,le2000,le2005,cal1990,cal1995,cal2000,cal2005
Albania,8,2843.943281,2906.141395,4249.088858,6365.680884,71.95731707,72.23602439,74.27207317,76.08939024,2560,2850,2850,2890
Algeria,12,6542.606812,6690.515287,7835.482566,10752.78462,66.75117073,67.84819512,68.93019512,69.83860976,2890,2880,2990,3090
Angola,24,2737.712607,2086.34342,2684.774635,4155.503023,41.13834146,42.05146341,45.20478049,48.53880488,1580,1660,1790,1960
Antigua and Barbuda,28,11097.82654,12527.55988,15312.48955,19065.84638,71.16295122,72.31768293,73.39729268,74.42185366,2510,2180,2110,2330
Argentina,32,7462.31,10005.21,10290.11,9271.2,71.54365854,72.66460976,73.74565854,74.75165854,3010,3160,3140,3030
Armenia,51,2416.758804,1583.118748,2313.32032,4715.94103,67.74780488,68.76356098,71.27653659,73.28856098,1920,2030,2140,2260
Australia,36,17357.65674,20966.30714,26333.88583,32571.82012,76.99463415,77.82926829,79.23414634,80.84146341,3130,3080,3050,3220
Austria,40,19513.87895,23733.46182,29574.16656,34691.20896,75.56829268,76.66829268,78.12682927,79.33170732,3540,3610,3790,3800
Azerbaijan,31,5507.798481,2422.564194,3534.311386,7168.690993,64.74636585,64.57582927,66.7582439,68.93726829,2160,2170,2510,3020
Bahamas,44,15720.25259,16152.66418,20510.91754,22628.74332,70.63065854,71.26256098,72.25429268,73.63887805,2610,2560,2700,2710
Bangladesh,50,801.3969123,1003.88059,1272.699646,1722.532792,60.0084878,62.69387805,65.31973171,67.48956098,1960,1930,2170,2270
Barbados,52,8426.664795,9208.47869,11662.80062,13502.74222,70.87453659,72.00104878,73.0194878,73.94895122,3040,3010,3050,3020
Belarus,112,5229.79364,3849.688868,5785.845173,9661.435048,70.83658537,68.46097561,68.91219512,68.85121951,3180,3240,3000,3150
Belgium,56,19045.97344,22862.88829,28218.24727,33007.80696,76.05195122,76.84073171,77.72195122,78.9804878,3590,3620,3720,3690
Belize,84,3342.125837,4530.643859,5719.057545,7302.470433,71.1812439,70.14468293,70.53904878,72.04631707,2510,2500,2610,2710
Benin,204,881.0523973,1020.245253,1209.095469,1410.18911,53.42,54.81595122,55.1882439,57.06697561,2250,2320,2410,2510
Bermuda,60,26236.46472,30648.50379,40535.00455,49874.0877,74.0295122,75.957439,77.88536585,78.68536585,2870,2860,2610,2650
Bolivia,68,2419.638223,2968.547224,3432.048056,4076.292792,58.77858537,61.09087805,62.95460976,64.70078049,2030,2100,2160,2100
Bosnia and Herzegovina,70,1003.097021,1285.671277,4352.641601,6154.415397,67.44639024,68.22926829,74.66917073,75.11239024,2670,2880,2820,3080
Botswana,72,5236.667132,6453.601838,8143.75629,10227.19494,62.9355122,57.67843902,50.48963415,46.72695122,2260,2220,2180,2230
