Region,4+DTaP,3+Polio,1+MMR,3+Hib,3+HepB,1+Var,3+PCV,2+HepA,Rotavirus,4:3:1,4:3:1:3:3:1,Year
US tiol,79.9±1.9,91.4±1.5,91.4±1.4,91.6±1.4,90.5±1.5,90.9±1.4,91.0±1.5,53.9±2.3,68.8±2.1,78.7±1.9,75.4±2.0,2013
Alabama,84.7±8.6,94.0±5.8,89.5±7.0,94.4±5.7,89.6±7.5,92.6±6.1,94.7±5.6,,73.6±9.8,83.8±8.7,81.8±8.9,2013
Alaska,75.8±8.3,92.8±4.2,92.4±4.5,87.7±6.1,92.7±4.4,91.2±4.7,91.0±4.8,,59.9±9.9,74.8±8.4,73.0±8.6,2013
Arizo,74.3±8.6,91.2±5.8,93.1±4.3,90.2±6.1,89.7±5.9,89.6±5.6,88.3±6.7,,,74.0±8.6,68.3±8.9,2013
Arkansas,73.5±9.5,90.3±7.2,89.2±6.1,91.0±5.6,93.1±6.5,90.5±5.7,91.7±5.1,36.1±9.3,,73.1±9.5,71.7±9.5,2013
California,78.3±9.2,88.0±7.8,88.1±7.9,88.3±7.8,89.7±7.5,87.6±7.9,86.3±8.2,,72.1±9.9,78.3±9.2,78.0±9.2,2013
Colorado,76.2±9.9,89.0±7.0,83.2±8.7,89.2±7.0,84.3±8.5,80.4±9.3,89.5±6.9,,80.6±8.8,75.3±10.0,,2013
Connecticut,,98.9±2.1,,98.9±2.1,97.9±2.5,,94.0±6.8,,,,,2013
Delaware,88.8±6.5,98.0±2.8,95.2±4.4,97.3±3.1,93.4±3.9,92.8±5.8,96.8±4.1,63.8±9.0,83.0±7.6,86.7±6.9,79.5±8.0,2013
Dist. of Columbia,81.8±8.9,94.3±4.8,94.7±5.1,93.8±5.2,90.9±7.2,93.5±5.6,94.9±4.3,,,81.8±8.9,,2013
Florida,79.9±8.8,88.9±9.0,95.0±4.9,88.8±7.3,87.3±7.4,95.0±4.9,89.2±7.0,,,,,2013
Georgia,,88.4±9.1,94.1±5.8,91.4±7.6,92.5±7.5,94.0±5.8,90.9±7.6,,,,,2013
Hawaii,83.2±9.0,92.0±6.5,94.2±5.1,94.4±5.0,91.7±5.7,93.8±5.2,91.6±6.6,,73.9±9.8,83.2±9.0,80.9±9.2,2013
Idaho,84.3±7.7,92.7±5.3,90.3±6.5,89.7±6.8,90.4±6.4,87.8±7.3,94.0±4.8,,77.4±8.6,81.0±8.6,74.9±9.6,2013
Illinois,75.1±7.3,87.5±5.6,89.2±5.1,87.7±5.6,86.8±5.7,84.4±6.1,89.5±5.2,46.7±7.8,67.5±7.4,74.5±7.3,69.0±7.6,2013
IL-City of Chicago,,87.1±7.7,89.2±6.7,88.4±7.3,85.3±8.3,87.3±7.0,88.5±7.3,,,,,2013
IL-Rest of State,74.7±9.5,87.6±7.3,89.3±6.8,87.4±7.4,87.5±7.5,83.1±8.3,90.0±6.9,48.2±9.9,65.9±9.7,74.2±9.5,68.3±9.8,2013
India,84.0±6.8,94.2±4.2,92.3±4.5,92.8±4.9,94.1±4.9,91.9±4.6,95.6±3.7,58.1±9.8,60.1±9.9,83.6±6.8,81.3±7.1,2013
Iowa,87.0±7.8,96.6±3.8,92.5±7.4,95.8±4.1,94.2±5.1,93.9±5.4,96.1±4.0,,,83.7±9.6,,2013
Kansas,80.5±8.9,92.2±5.7,88.0±7.0,94.4±5.0,94.4±5.0,85.6±7.6,94.4±5.0,,69.8±9.8,80.5±8.9,76.2±9.4,2013
Kentucky,85.2±7.0,94.4±4.6,91.3±5.6,93.4±4.8,94.9±4.1,93.1±4.8,94.4±4.6,,,83.8±7.4,82.1±7.6,2013
Louisia,76.7±8.0,90.4±6.0,87.2±6.4,88.2±6.5,93.3±4.8,90.9±5.6,88.2±6.5,50.4±9.5,70.4±9.1,75.3±8.1,75.3±8.1,2013
Maine,85.3±8.6,96.1±4.7,94.0±5.5,93.0±5.9,91.3±6.4,92.6±6.1,94.7±5.3,,74.4±9.5,81.8±9.2,78.5±9.7,2013
Maryland,,95.7±5.7,94.5±7.5,93.8±6.4,89.5±9.2,94.1±7.5,93.0±7.8,,,,,2013
Massachusetts,90.8±7.9,98.7±1.8,94.2±7.1,98.7±1.8,97.8±2.3,94.4±6.9,95.5±5.5,,,90.8±7.9,87.5±9.1,2013
Michigan,,87.5±7.7,85.7±8.5,84.1±8.8,86.1±8.3,85.7±8.5,87.5±7.7,,,,,2013
Minnesota,87.0±9.6,90.4±8.7,,91.5±8.4,,,92.7±7.5,,,,,2013
Mississippi,88.4±5.7,95.3±4.7,96.0±3.5,97.2±3.1,94.2±4.9,94.9±4.1,97.7±2.9,,64.8±9.9,86.6±6.6,84.3±7.0,2013
Missouri,81.1±9.3,92.8±5.4,90.6±7.1,93.0±5.2,92.4±5.7,89.9±7.2,89.8±6.7,,,79.5±9.5,78.3±9.7,2013
Monta,74.9±9.4,91.6±6.1,87.2±7.3,88.8±6.8,89.8±6.8,84.4±8.3,87.9±7.7,,,74.9±9.4,72.0±9.8,2013
Nebraska,84.7±8.0,95.5±4.1,92.7±6.0,94.8±4.3,92.6±5.0,92.0±6.2,95.1±4.2,73.6±9.4,70.4±9.9,84.7±8.0,77.7±9.0,2013
Nevada,82.1±6.6,90.4±4.9,89.4±5.0,86.3±5.9,87.8±5.9,88.6±5.1,88.4±5.5,64.6±8.3,59.1±8.6,81.1±6.6,75.5±7.5,2013
New Hampshire,91.1±6.7,96.4±4.2,96.4±4.2,94.1±6.0,96.4±4.2,92.8±7.0,91.2±7.9,,,91.1±6.7,85.2±9.4,2013
New Jersey,79.3±9.4,90.0±7.3,94.4±5.5,93.1±5.8,92.6±5.3,87.6±8.0,93.9±5.3,,,,,2013
New Mexico,74.8±8.9,87.7±6.8,88.5±6.3,86.4±7.7,88.1±6.6,87.0±6.7,88.3±6.7,47.2±9.7,66.2±9.2,73.0±9.1,70.3±9.3,2013
New York,85.7±5.6,96.6±2.9,95.2±3.5,93.7±3.8,92.4±4.3,93.1±4.3,94.4±3.8,52.9±7.9,73.1±7.2,84.5±5.8,76.5±7.1,2013
NY-City of New York,83.1±7.6,95.1±4.9,97.3±3.3,90.5±6.2,90.6±5.7,96.2±4.1,93.1±4.8,53.7±9.7,68.2±9.6,81.3±8.1,75.5±8.9,2013
NY-Rest of State,89.1±8.1,98.7±1.9,92.5±7.0,97.8±2.9,94.7±6.4,89.0±8.3,96.0±5.9,,,88.6±8.1,,2013
North Caroli,83.7±8.1,96.0±4.6,96.5±4.5,96.0±4.6,95.2±4.8,94.1±5.3,95.8±4.6,,,83.7±8.1,80.2±8.6,2013
North Dakota,,89.3±7.3,90.3±7.2,90.2±7.1,90.2±7.0,88.6±7.4,89.9±7.2,,75.7±9.3,,,2013
Ohio,,88.7±8.3,84.4±7.7,88.4±8.3,83.4±8.3,86.7±7.4,84.8±9.1,,,,,2013
Oklahoma,79.4±6.3,92.8±3.9,90.9±4.4,91.8±4.0,91.8±4.1,89.6±4.7,91.4±4.1,55.7±7.8,56.2±7.7,78.5±6.4,73.6±6.9,2013
Oregon,79.9±8.1,90.1±5.9,89.0±6.4,84.7±7.7,88.9±6.0,86.2±7.1,84.0±7.8,,,79.0±8.2,74.3±8.9,2013
Pennsylvania,86.9±6.4,94.5±3.8,96.1±3.4,94.5±3.9,93.7±4.7,94.0±4.8,92.5±5.0,49.0±8.2,71.6±8.1,86.7±6.4,84.1±7.1,2013
PA-Philadelphia County,89.8±5.4,92.3±5.0,96.3±3.1,94.7±4.3,92.6±4.6,97.7±2.4,92.9±4.7,56.9±8.7,70.2±7.9,88.9±5.6,88.0±5.7,2013
PA-Rest of State,86.0±8.4,95.2±4.9,96.1±4.5,94.5±5.1,94.1±6.1,92.8±6.4,92.3±6.5,,,86.0±8.4,82.7±9.3,2013
Rhode Island,90.0±7.4,97.8±2.7,97.3±4.1,90.7±7.9,97.5±2.7,98.8±2.3,99.6±0.9,,79.4±9.7,87.3±8.3,85.5±8.6,2013
South Caroli,,96.8±3.8,86.6±8.2,90.5±7.2,97.5±3.4,89.9±7.4,94.7±4.5,,,,,2013
South Dakota,83.6±9.1,93.9±4.9,94.4±4.8,91.3±6.9,93.9±4.9,93.9±5.0,90.9±6.9,,,83.6±9.1,80.6±9.7,2013
Tennessee,79.9±7.9,95.7±4.3,92.6±5.7,96.7±3.9,92.9±5.3,95.0±4.4,96.0±4.3,49.3±9.4,72.5±9.8,77.5±8.3,74.2±8.6,2013
Texas,78.3±6.1,90.5±4.4,92.6±3.6,94.7±2.6,89.5±4.3,94.5±2.7,93.1±3.3,63.6±6.9,71.7±6.7,76.8±6.3,72.8±6.5,2013
TX-Bexar County,78.6±7.9,91.5±5.1,93.5±4.2,92.0±5.0,90.3±5.2,92.5±4.5,87.6±6.3,64.9±8.9,62.8±9.1,77.9±8.0,74.2±8.3,2013
TX-City of Houston,84.2±7.3,96.9±3.0,92.2±5.0,96.9±3.0,95.6±3.4,92.6±4.8,96.4±3.6,,83.5±8.0,84.2±7.3,81.3±7.7,2013
TX-Dallas County,,,,,,,,,,,,2013
TX-El Paso County,76.3±7.4,87.2±6.0,94.3±3.4,89.1±5.8,85.7±6.4,94.5±3.4,91.5±5.2,64.2±8.2,69.0±8.2,76.3±7.4,73.0±7.8,2013
TX-Rest of State,77.3±8.1,89.3±5.9,92.5±4.8,94.9±3.4,88.5±5.8,95.0±3.5,93.1±4.3,63.3±9.0,70.6±8.9,75.3±8.3,71.1±8.6,2013
Utah,90.3±6.1,94.1±5.1,93.8±5.4,92.8±5.3,87.0±8.1,90.6±6.6,94.9±4.3,,79.3±9.3,86.5±7.8,75.6±9.9,2013
Vermont,84.3±7.7,92.8±5.6,87.6±6.9,89.6±6.8,90.7±5.9,80.3±8.3,88.8±7.0,43.0±9.9,65.3±9.7,79.1±8.6,70.0±9.5,2013
Virginia,,95.3±7.9,93.7±8.1,94.5±8.1,93.1±8.5,92.5±8.4,,,,,,2013
Washington,,90.0±8.1,91.8±6.2,91.9±6.7,87.0±8.7,93.2±5.6,89.8±7.8,,,,,2013
