Region,4+DTaP,3+Polio,1+MMR,3+Hib,3+HepB,1+Var,3+PCV,2+HepA,Rotavirus,4:3:1,4:3:1:3:3:1,Year
US tiol         ,89.3±0.9,93.2±0.8,94.3±0.7,95.3±0.7,93.1±0.8,85.9±1.0,74.1±1.3,,,86.6±1.0,75.7±1.3,2003
Alabama,88.9±6.2,90.6±5.9,94.3±3.4,94.2±5.5,90.5±6.3,93.7±3.4,70.7±8.7,,,85.6±6.5,79.2±7.2,2003
   AL-Jefferson County,87.0±7.4,85.8±7.3,90.8±6.4,95.9±4.5,94.6±4.0,88.8±6.1,81.6±7.7,,,80.8±8.1,74.1±8.6,2003
   AL-Rest of State,89.3±7.3,91.5±6.9,94.9±3.8,93.9±6.5,89.8±7.4,94.6±3.9,,,,86.5±7.6,80.1±8.4,2003
Alaska,82.3±7.8,92.0±5.5,93.1±5.5,88.1±7.2,88.7±6.5,74.7±8.8,74.9±9.2,,,79.6±8.4,64.1±9.7,2003
Arizo,86.2±4.6,91.8±3.5,94.9±2.6,95.5±2.5,92.9±3.1,85.1±4.8,65.3±6.3,,,84.7±4.8,72.8±6.0,2003
   AZ-Maricopa County,88.6±5.6,93.7±3.9,95.6±3.0,96.7±2.8,94.3±3.8,84.1±6.4,65.6±8.1,,,87.6±5.7,73.4±7.7,2003
   AZ-Rest of State,80.5±8.1,87.2±7.2,93.2±4.9,92.7±5.0,89.6±5.3,87.6±5.6,64.4±9.5,,,77.7±8.5,71.4±8.8,2003
Arkansas,84.3±8.3,93.7±5.2,90.2±6.6,92.0±6.1,88.8±7.0,88.7±7.1,,,,84.3±8.3,80.4±8.9,2003
California,87.9±4.1,92.5±3.6,92.1±3.8,93.2±3.5,92.7±3.5,88.3±4.2,81.5±4.8,,,84.5±4.6,76.3±5.4,2003
   CA-Los Angeles County,89.3±6.9,93.5±5.6,93.6±6.2,95.1±4.8,90.9±6.6,89.8±6.9,,,,89.3±6.9,76.9±9.6,2003
   CA-San Diego County,89.4±6.3,94.1±4.3,94.6±4.3,93.8±5.3,91.4±5.2,88.7±6.0,82.3±6.9,,,86.5±7.0,76.2±8.9,2003
   CA-Santa Clara County,90.8±5.5,94.9±4.0,93.9±4.5,95.7±3.6,98.8±1.7,90.3±4.9,85.2±6.1,,,89.4±5.7,81.7±6.8,2003
   CA-Rest of State,87.0±6.0,91.8±5.3,91.1±5.5,92.3±5.2,92.6±5.0,87.6±6.1,83.0±6.6,,,82.2±6.7,75.4±7.7,2003
Colorado,79.6±6.9,92.5±3.7,89.0±5.4,92.1±4.0,93.4±3.4,82.4±6.1,60.4±8.1,,,75.8±7.1,68.9±7.5,2003
Connecticut,95.5±2.8,98.6±1.4,98.9±1.1,98.5±1.3,98.4±1.3,93.2±3.8,89.1±4.4,,,95.2±2.8,88.4±4.6,2003
Delaware,93.6±4.6,93.1±5.2,97.1±2.9,98.4±1.8,95.1±4.2,87.9±5.7,73.7±8.1,,,91.0±5.5,78.8±7.6,2003
District of Columbia,91.9±5.8,92.9±5.1,93.9±4.4,95.0±3.7,91.1±5.1,91.2±4.7,77.9±8.7,,,89.3±6.5,79.3±7.8,2003
Florida,92.4±3.6,94.5±3.1,96.2±2.5,97.5±1.7,93.1±3.3,92.0±4.0,67.6±6.7,,,90.4±3.9,81.0±5.3,2003
   FL-Miami-Dade County,92.4±5.2,92.8±5.0,94.1±4.2,94.8±4.8,91.2±5.4,83.2±7.1,55.6±9.7,,,88.7±5.8,71.7±8.5,2003
   FL-Duval County,87.0±6.4,91.2±5.5,97.0±3.9,92.6±5.4,96.5±2.7,89.9±6.7,75.2±8.6,,,85.5±6.6,76.9±8.2,2003
   FL-Rest of State,92.9±4.4,95.1±3.8,96.5±3.0,98.3±1.9,93.2±4.0,93.9±4.9,69.2±8.3,,,91.1±4.7,83.1±6.5,2003
Georgia,88.6±5.9,90.9±5.3,90.1±5.3,93.9±4.6,91.6±5.0,90.9±4.7,69.0±7.6,,,83.9±6.6,81.1±6.8,2003
   GA-Fulton/DeKalb Counties,91.2±4.0,92.4±3.6,96.1±2.7,96.4±2.6,94.9±3.2,88.7±5.5,73.6±7.2,,,89.4±4.3,82.7±6.1,2003
   GA-Rest of State,87.9±7.5,90.5±6.7,88.4±6.7,93.2±5.8,90.7±6.3,91.5±5.8,67.7±9.5,,,82.4±8.2,80.6±8.4,2003
Hawaii,88.1±7.1,88.2±7.0,94.2±5.4,93.0±5.9,91.9±6.0,86.7±8.5,79.3±9.7,,,85.2±7.7,77.2±9.7,2003
Idaho,81.9±8.0,88.7±6.4,92.1±6.2,90.1±5.7,84.8±7.7,73.0±8.5,76.5±8.0,,,80.3±8.1,59.8±9.5,2003
Illinois,91.3±4.0,93.9±3.4,95.7±2.8,95.7±3.0,93.0±4.1,78.8±5.9,68.0±6.9,,,89.2±4.3,71.2±6.6,2003
   IL-City of Chicago,88.3±7.3,89.9±6.6,94.2±5.1,96.9±3.9,91.7±6.0,86.4±8.1,82.1±8.0,,,83.3±8.5,76.0±9.8,2003
   IL-Rest of State,91.9±4.5,94.7±3.8,95.9±3.2,95.5±3.4,93.2±4.8,77.3±6.9,65.3±8.1,,,90.3±4.8,70.3±7.7,2003
India,91.6±4.8,94.5±4.4,95.6±3.0,96.6±2.4,94.9±2.8,73.1±8.1,79.3±6.9,,,90.5±5.2,66.2±8.7,2003
   IN-Marion County,84.8±7.3,92.3±4.8,93.5±4.6,96.6±3.3,90.7±6.0,73.7±8.7,80.4±7.7,,,84.8±7.3,66.1±9.5,2003
   IN-Rest of State,92.8±5.5,94.9±5.1,96.0±3.5,96.6±2.7,95.6±3.0,73.0±9.4,79.1±8.0,,,91.6±6.0,,2003
