DATES,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,INJURED,KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
1/13/2013,4:45,BROOKLYN,11207,40.6699256,-73.8914803,"(40.6699256, -73.8914803)",SUTTER AVENUE,BRADFORD STREET,,6,0,0,0,0,0,6,0,Animals Action,Unspecified,,,,165649,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
1/13/2013,5:00,BROOKLYN,11221,40.6964431,-73.9222707,"(40.6964431, -73.9222707)",CENTRAL AVENUE,HARMAN STREET,,6,0,0,0,0,0,6,0,Unspecified,Unspecified,,,,185424,OTHER,OTHER,,,
1/13/2013,2:05,,,40.8156043,-73.9342929,"(40.8156043, -73.9342929)",,,,5,0,0,0,0,0,5,0,Driver Inattention/Distraction,Unspecified,,,,2864388,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
1/13/2013,18:13,,,,,,,,,4,0,0,0,0,0,4,0,Unspecified,Unspecified,,,,2864394,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
1/13/2013,20:00,,,40.78896,-73.8235426,"(40.78896, -73.8235426)",,,,4,0,0,0,0,0,4,0,Unspecified,Unspecified,,,,3056049,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
1/13/2013,5:35,QUEENS,11421,40.6847527,-73.860765,"(40.6847527, -73.860765)",ATLANTIC AVENUE,ROCKAWAY BOULEVARD,,3,0,0,0,0,0,3,0,Driver Inattention/Distraction,Unspecified,,,,205205,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
1/13/2013,7:30,BROOKLYN,11226,40.6524883,-73.952663,"(40.6524883, -73.952663)",LINDEN BOULEVARD,ROGERS AVENUE,,3,0,0,0,0,0,3,0,Traffic Control Disregarded,Unspecified,,,,136850,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
1/13/2013,20:25,,,,,,,,,3,0,0,0,0,0,3,0,Unspecified,Unspecified,,,,2927236,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
1/13/2013,19:49,BROOKLYN,11212,40.6652273,-73.923183,"(40.6652273, -73.923183)",SUTTER AVENUE,EAST 98 STREET,,3,0,0,0,0,0,3,0,Unspecified,Unspecified,,,,161157,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
1/13/2013,11:41,,,,,,KINGS HIGHWAY,CLARENDON ROAD,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,136849,OTHER,SPORT UTILITY / STATION WAGON,,,
1/13/2013,12:05,QUEENS,11411,40.6998001,-73.746777,"(40.6998001, -73.746777)",207 STREET,115 AVENUE,,2,0,0,0,0,0,2,0,Unspecified,,,,,222081,PASSENGER VEHICLE,,,,
1/13/2013,22:30,BROOKLYN,11236,40.6400004,-73.9019314,"(40.6400004, -73.9019314)",EAST 93 STREET,AVENUE J,,2,0,0,0,0,0,2,0,Pavement Slippery,Pavement Slippery,,,,145578,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
1/13/2013,14:50,,,,,,,,,2,0,0,0,0,0,2,0,Traffic Control Disregarded,Traffic Control Disregarded,Unspecified,,,2912813,PASSENGER VEHICLE,PASSENGER VEHICLE,VAN,,
1/13/2013,17:40,QUEENS,11377,40.7469089,-73.9016008,"(40.7469089, -73.9016008)",39 AVENUE,62 STREET,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,Unspecified,,,240820,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
1/13/2013,21:00,MANHATTAN,10002,40.7143649,-73.9928216,"(40.7143649, -73.9928216)",ALLEN STREET,DIVISION STREET,,2,0,0,0,1,0,1,0,Unspecified,Unspecified,,,,12742,MOTORCYCLE,BICYCLE,,,
1/13/2013,21:00,QUEENS,11417,40.6721508,-73.8431812,"(40.6721508, -73.8431812)",CROSS BAY BOULEVARD,PITKIN AVENUE,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,Unspecified,,,229581,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,,
1/13/2013,21:20,MANHATTAN,10012,40.7203211,-73.9940403,"(40.7203211, -73.9940403)",BOWERY,DELANCEY STREET,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,6629,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
1/13/2013,22:46,,,40.8143851,-73.8962223,"(40.8143851, -73.8962223)",,,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,2881254,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
1/13/2013,4:18,MANHATTAN,10019,40.7647907,-73.9842822,"(40.7647907, -73.9842822)",WEST 54 STREET,8 AVENUE,,2,0,0,0,0,0,2,0,Driver Inexperience,Other Electronic Device,Fatigued/Drowsy,,,39972,PASSENGER VEHICLE,TAXI,TAXI,,
1/13/2013,6:44,,,40.8226444,-73.8860546,"(40.8226444, -73.8860546)",,,,2,0,0,0,0,0,2,0,Pavement Slippery,Unspecified,,,,2881253,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
