FIPS,MajorOcc,_TYPE_,_FREQ_,pEstimate,p_Est,n_Est,Base_pop,Sample,StateAB
,,0,1397967,6%,0.056893895,8241638,144859796,1397967,
,Management,1,146465,5%,0.04586701,657120,14326637,146465,
,Business and Financial Operations,1,69769,4%,0.042133303,294640,6993043,69769,
,Computer and Mathematical,1,37996,4%,0.03659317,142105,3883375,37996,
,Architecture and Engineering,1,27337,4%,0.037519635,100369,2675106,27337,
,"Life, Physical, and Social Science",1,13112,4%,0.038427773,47843,1245011,13112,
,Community and Social Services,1,24452,6%,0.063569936,151437,2382211,24452,
,Legal,1,17519,4%,0.042512064,71696,1686486,17519,
,"Education, Training, and Library",1,93108,4%,0.043677477,384616,8805820,93108,
,"Arts, Design, Entertainment, Sports, and Media",1,27331,5%,0.047181678,131167,2780041,27331,
,Healthcare Practitioners and Technical,1,82381,4%,0.041331607,336397,8138977,82381,
,Healthcare Support,1,33966,6%,0.06327079,237879,3759697,33966,
,Protective Service,1,30667,6%,0.058674846,187031,3187584,30667,
,Food Preparation and Serving Related,1,66927,6%,0.059735949,481215,8055702,66927,
,"Building and Grounds, Cleaning and Maintenance",1,51320,9%,0.089528031,518587,5792454,51320,
,Personal Care and Service,1,49492,7%,0.071351102,379133,5313625,49492,
,Sales and Related,1,142461,5%,0.054310955,835491,15383471,142461,
,Office and Administrative Support,1,190799,6%,0.060588769,1170403,19317161,190799,
,"Farming, Fishing, and Forestry",1,9928,7%,0.065048492,65690,1009862,9928,
,Construction and Extraction,1,64778,6%,0.057640362,417387,7241228,64778,
,"Installation, Maintenance, and Repair",1,45779,7%,0.067082257,317642,4735112,45779,
,"Production",1,83545,7%,0.071888938,626364,8712940,83545,
,Transportation and Material Moving,1,83226,7%,0.07451102,663072,8898979,83226,
,Military Specific,1,5609,5%,0.045498193,24354,535274,5609,
1,,2,19117,7%,0.066263152,132861,2005051,19117,AL
2,,2,2918,7%,0.069012401,25582,370687,2918,AK
4,,2,26822,5%,0.054987698,153051,2783368,26822,AZ
5,,2,11785,7%,0.071929683,88954,1236680,11785,AR
6,,2,162910,4%,0.044273221,761564,17201459,162910,CA
8,,2,25225,6%,0.057807199,150818,2608983,25225,CO
9,,2,17496,5%,0.051488644,90834,1764156,17496,CT
10,,2,3938,6%,0.0625174,26274,420267,3938,DE
11,,2,3380,4%,0.044093008,14685,333046,3380,DC
12,,2,80848,5%,0.052184479,442274,8475202,80848,FL
13,,2,41144,6%,0.05703211,249675,4377797,41144,GA
15,,2,6809,5%,0.047543335,32952,693094,6809,HI
16,,2,6656,6%,0.064950024,45844,705835,6656,ID
17,,2,59156,5%,0.05184463,313602,6048881,59156,IL
18,,2,29681,7%,0.0668236,199988,2992775,29681,IN
19,,2,15321,6%,0.063369301,96930,1529605,15321,IA
20,,2,13588,6%,0.063211285,88036,1392726,13588,KS
21,,2,18837,7%,0.071545657,134956,1886292,18837,KY
22,,2,18901,7%,0.068854509,138789,2015685,18901,LA
23,,2,5937,7%,0.073866671,47434,642157,5937,ME
24,,2,29274,5%,0.051665965,154812,2996402,29274,MD
25,,2,33887,5%,0.048178961,161986,3362173,33887,MA
26,,2,42273,6%,0.062867186,272283,4331083,42273,MI
27,,2,27279,5%,0.054942555,152887,2782670,27279,MN
28,,2,11373,8%,0.075406033,90503,1200209,11373,MS
29,,2,27406,6%,0.062657277,175141,2795222,27406,MO
30,,2,4625,7%,0.069005528,32531,471426,4625,MT
31,,2,9339,6%,0.056095531,53703,957349,9339,NE
32,,2,11818,7%,0.070139095,88199,1257487,11818,NV
33,,2,6823,6%,0.059172212,40449,683581,6823,NH
34,,2,41478,5%,0.046879642,197889,4221214,41478,NJ
35,,2,7669,8%,0.079414361,68474,862237,7669,NM
36,,2,89169,5%,0.046111432,422713,9167206,89169,NY
37,,2,42334,6%,0.058784758,258999,4405887,42334,NC
38,,2,3702,6%,0.056817577,22418,394561,3702,ND
39,,2,53123,6%,0.062209014,330528,5313185,53123,OH
40,,2,15636,8%,0.0798981,138093,1728364,15636,OK
41,,2,17113,7%,0.069890122,123703,1769964,17113,OR
42,,2,58720,6%,0.057354687,339337,5916465,58720,PA
44,,2,5221,5%,0.053305982,27623,518197,5221,RI
45,,2,19975,6%,0.064611805,135108,2091073,19975,SC
46,,2,4135,8%,0.079152318,33925,428604,4135,SD
47,,2,27950,7%,0.068805092,197468,2869962,27950,TN
48,,2,112209,6%,0.060712433,731345,12046050,112209,TX
49,,2,12408,6%,0.055652237,72401,1300954,12408,UT
50,,2,3209,6%,0.064101266,20261,316078,3209,VT
51,,2,39818,5%,0.050358536,203963,4050217,39818,VA
53,,2,31313,6%,0.061955277,202445,3267599,31313,WA
54,,2,7236,8%,0.080979516,61221,756006,7236,WV
55,,2,28160,6%,0.061654543,174048,2822955,28160,WI
56,,2,2823,8%,0.075698563,22079,291670,2823,WY
1,Management,3,1740,5%,0.053097946,9390,176843,1740,AL
1,Business and Financial Operations,3,762,5%,0.050299836,3741,74374,762,AL
1,Computer and Mathematical,3,365,5%,0.047204229,1902,40293,365,AL
1,Architecture and Engineering,3,440,4%,0.044405797,1915,43125,440,AL
1,"Life, Physical, and Social Science",3,121,5%,0.04899876,553,11286,121,AL
